"GEOID10","NAME","TOTAL_POPULATION","HISP_LAT_TOTAL","HISP_LAT_NONHISPANIC_LATINO","HISP_LAT_HISPANIC_LATINO","TOTAL_POP_WHITE","MEDIAN_AGE"
"36005000100","Census Tract 1, Bronx County, New York",11091,11091,7312,3779,1724,30.8
"36005000200","Census Tract 2, Bronx County, New York",4334,4334,1341,2993,1332,32.8
"36005000400","Census Tract 4, Bronx County, New York",5503,5503,1748,3755,1497,34.6
"36005001600","Census Tract 16, Bronx County, New York",5643,5643,2161,3482,1556,30.6
"36005001900","Census Tract 19, Bronx County, New York",1917,1917,731,1186,591,30
"36005002000","Census Tract 20, Bronx County, New York",8731,8731,3370,5361,1985,31.6
"36005002300","Census Tract 23, Bronx County, New York",4933,4933,1710,3223,1054,26.5
"36005002400","Census Tract 24, Bronx County, New York",4,4,0,4,2,35
"36005002500","Census Tract 25, Bronx County, New York",5491,5491,1142,4349,1398,29.4
"36005002701","Census Tract 27.01, Bronx County, New York",3113,3113,1063,2050,736,25.6
"36005002702","Census Tract 27.02, Bronx County, New York",4475,4475,1090,3385,1076,24.2
"36005002800","Census Tract 28, Bronx County, New York",5586,5586,4347,1239,422,41.5
"36005003100","Census Tract 31, Bronx County, New York",1597,1597,579,1018,307,27.9
"36005003300","Census Tract 33, Bronx County, New York",3413,3413,948,2465,692,24.2
"36005003500","Census Tract 35, Bronx County, New York",3761,3761,974,2787,977,28.5
"36005003700","Census Tract 37, Bronx County, New York",245,245,86,159,60,35.5
"36005003800","Census Tract 38, Bronx County, New York",1264,1264,503,761,317,32
"36005003900","Census Tract 39, Bronx County, New York",6475,6475,1206,5269,1669,31.7
"36005004001","Census Tract 40.01, Bronx County, New York",1420,1420,694,726,472,41.7
"36005004100","Census Tract 41, Bronx County, New York",6127,6127,1678,4449,1342,25.7
"36005004200","Census Tract 42, Bronx County, New York",7143,7143,3195,3948,1487,33.7
"36005004300","Census Tract 43, Bronx County, New York",5056,5056,1222,3834,1410,28.8
"36005004400","Census Tract 44, Bronx County, New York",4797,4797,1884,2913,1080,30.7
"36005004600","Census Tract 46, Bronx County, New York",1555,1555,643,912,352,31.5
"36005004800","Census Tract 48, Bronx County, New York",3883,3883,894,2989,1094,31.4
"36005005001","Census Tract 50.01, Bronx County, New York",4767,4767,1461,3306,1248,29.3
"36005005002","Census Tract 50.02, Bronx County, New York",5823,5823,1206,4617,1512,32.5
"36005005100","Census Tract 51, Bronx County, New York",5810,5810,2115,3695,1184,26.5
"36005005200","Census Tract 52, Bronx County, New York",2031,2031,683,1348,425,30.9
"36005005300","Census Tract 53, Bronx County, New York",4669,4669,2642,2027,465,26.4
"36005005400","Census Tract 54, Bronx County, New York",5853,5853,2043,3810,1248,31.5
"36005005600","Census Tract 56, Bronx County, New York",2711,2711,881,1830,630,31.8
"36005005902","Census Tract 59.02, Bronx County, New York",2582,2582,951,1631,521,44.5
"36005006000","Census Tract 60, Bronx County, New York",1129,1129,191,938,330,30.4
"36005006100","Census Tract 61, Bronx County, New York",3713,3713,3148,565,195,51.9
"36005006200","Census Tract 62, Bronx County, New York",6585,6585,2380,4205,1310,30.8
